Geography,ACS2012,ACS2012moe,ACS2017,ACS2017moe
4713,4926,386,4488,361
4714,5313,398,5394,267
4715,3411,384,3601,231
4731,6193,364,6773,364
4734,1750,215,1665,124
4735.01,4523,256,4206,247
4735.02,3350,223,3121,247
4736.01,3135,193,3104,228
4736.02,2165,198,2600,240
4737,6052,276,5787,341
4738,1899,222,1781,187
4761,4744,268,4738,290
4762,2649,248,2670,156
4763,5107,395,5155,294
4771.01,3980,231,4069,205
4771.02,8736,262,8736,246
4772,2976,168,2870,198
4803,2169,106,2358,177
4804,3775,185,3772,188
4805,3336,188,3425,266
4806,5162,480,4482,359
4807,2127,238,2304,215
4808,4410,270,4686,323
4809,2846,237,2391,163
4810,3508,194,3600,204
4811,3944,227,3889,201
4812,3507,266,4151,252
4813,2954,186,2760,243
4841,5633,295,5150,306
4842,5563,290,6259,303
4871,7351,536,6940,400
4872.01,4353,288,4697,219
4872.02,3593,179,3569,156
4873,1324,147,1573,140
4874,2234,136,2437,152
4875,6829,461,6586,397
4901,4837,339,5481,399
4903.02,8846,378,8353,398
4921,3482,203,3390,251
4922,4175,187,4060,228
4923,5964,307,5777,367
4924,2752,156,3131,199
4925,3359,146,3450,224
4926,6938,227,6587,358
4941,5959,347,5941,309
4942.01,4907,300,4703,261
4942.02,2744,186,2658,264
4943,4074,242,4113,210
4944,4905,329,5072,291
4945,4593,258,4607,311
4946,3338,198,3509,224
4961,2574,268,2836,267
4962,4567,161,4544,244
4963,3612,149,3702,180
4964,2894,181,2813,153
4965,2750,112,2638,129
4966,2746,172,2642,172
4967,4065,288,3664,301
4968,3903,301,3209,239
4969,5724,590,6689,588
4970,4383,150,4408,182
4971,4153,280,4071,369
4972,2274,215,2224,183
4973,5197,323,5146,318
4974,3981,197,3949,159
4975,3706,198,3888,264
4976,2196,165,2280,109
4977,4432,210,4657,301
5001,4154,595,4147,452
5002,2653,324,2662,280
5003,2094,305,2086,225
5004,1895,287,1666,218
5005,1478,349,1514,188
5007,1291,220,1046,208
5009,2080,260,2383,211
5012,2562,343,2690,323
5013,1713,243,1596,248
5014,2760,453,2495,452
5015,3285,518,3549,410
5017,925,210,1671,241
5018,2953,507,3183,291
5021,1731,198,2108,208
5023,6220,377,6120,715
5024,6288,547,5878,675
5025,1736,224,2217,273
5026,4250,491,3860,453
5027,5150,495,5057,548
5028,2906,422,2703,332
5029,3091,376,2869,304
5030,2850,412,3194,418
5031,5035,773,4214,488
5033,2665,395,2937,396
5035,1605,307,1682,283
5037,2531,305,2592,280
5038,4280,609,3075,325
5039,5160,527,4600,461
5040,3249,397,3210,408
5041,2036,451,1686,275
5042,4986,656,5187,559
5043,2103,299,3060,337
5045,3575,479,3648,393
5048,4651,333,4390,471
5049,3717,421,4855,510
5101,2143,280,2263,213
5102,2684,299,2730,274
5103,4673,621,4513,367
5104,4990,451,5645,785
5105,3129,299,3120,250
5106,4958,532,4613,433
5107,4990,425,4637,308
5108,3257,417,3070,305
5109,3615,261,3381,226
5110,3732,308,3682,259
5111,3636,245,3233,227
5112,3652,256,3638,333
5113,3309,323,3775,324
5114,2403,244,2512,214
5141.01,3461,188,3569,168
5141.02,6916,479,7737,656
5142,3105,212,3105,328
5143,4506,288,4106,326
5144,4412,330,4272,427
5145,4322,264,4519,488
5146,4985,475,5438,432
5147,4455,489,4289,406
5148,3701,341,3444,344
5149,2926,146,2735,179
5150,3171,162,3067,212
5151.01,2550,189,2676,214
5151.02,6065,370,6036,649
5152,3503,271,3179,228
5201,5832,332,5987,245
5202.01,3597,257,3636,225
5202.02,4119,316,4403,282
5203.01,5010,346,4305,234
5203.02,3674,261,4020,251
5204,7978,307,7862,308
5205.01,4191,245,4475,234
5241,6382,18,6420,18
5242,5948,335,6181,330
5243,6961,533,6790,472
5244,3036,352,3185,429
5245.01,2845,437,2321,393
5245.02,2242,347,2329,368
5246,3857,391,3186,362
5247,3241,293,3539,309
9800,0,12,0,12
2501,1704,112,1681,116
2531,3344,376,3602,244
2532,7391,495,7061,488
2533,2132,173,2194,141
2534,6380,429,5897,352
2535,6286,328,6079,376
2536,2534,376,2547,222
2602,3301,21,3331,17
2611,3747,17,3658,20
2621,2789,15,2733,22
2632,1393,200,1364,151
2651,1560,141,1467,108
2661,2971,14,2853,22
2671,3574,21,3489,19
2681,2322,175,2231,194
2901,3791,41,3693,17
2931,1493,100,1471,150
2961,2957,23,2914,15
2983,2649,84,2819,197
2984,2971,90,2707,194
3001,2346,236,2310,184
3004,2206,273,2055,274
3005,3902,235,3887,284
3031,2469,195,2367,166
3061,6924,18,6794,18
3101,4621,437,4311,414
3102,2964,282,2948,372
3103,1755,242,1565,281
3104,2697,272,2266,206
3105,1913,154,1956,142
3106.01,3704,244,3609,214
3106.02,4872,263,4742,275
3107,4054,336,3829,266
3108.01,2476,367,2440,298
3108.03,4374,426,4561,421
3108.04,2809,429,2851,252
3201,6355,384,6205,279
3202,4834,386,4689,278
3421,3594,16,3490,25
3491,5130,190,4983,180
3492,2735,190,2685,180
3601,5220,277,5050,354
3602,7609,347,7804,365
3603,3532,265,3462,265
3604,6088,377,5660,469
3621.01,4204,202,4334,298
3621.02,5721,199,5352,299
4253,4222,275,4212,253
4254,4592,247,4532,257
4255,3379,294,3144,259
4256,2687,154,2570,147
5411,2322,295,2595,408
5412,5727,416,5191,440
5413,6168,445,6192,447
5414.01,3286,219,3053,209
5414.02,5289,343,5943,418
5415,3309,684,3421,351
5416,1492,229,1320,235
5417,3250,293,3377,353
5420,4267,393,4193,267
5421,4154,274,3570,376
5422,1622,95,1624,124
5501,5869,308,5594,407
5502.01,4111,339,3980,226
5502.02,2973,247,3316,344
5601,5843,292,5871,276
5602,3657,284,3520,275
5701,4683,255,4829,326
5702,3402,197,3138,245
5703,5974,261,6054,425
